time;Bx;By;Bz;BT
2,785887;-53,58;-54,52;39,25;85,93
2,806460;-53,58;-55,21;42,42;87,86
2,825346;-54,48;-55,17;44,18;89,24
2,846859;-55,25;-54,27;42,31;88,25
2,867103;-54,39;-53,64;39,35;85,92
2,885911;-53,53;-54,18;40,04;86,04
2,906046;-53,94;-54,82;43,53;88,37
2,926449;-55,06;-54,74;44,43;89,46
2,947694;-55,48;-53,64;41,91;87,81
2,967273;-54,26;-53,35;39,61;85,79
2,986588;-53,49;-54,01;40,83;86,28
3,007287;-53,81;-54,76;44,00;88,48
3,027490;-54,58;-54,52;44,11;88,86
3,050573;-54,69;-53,49;41,13;86,85
3,068326;-53,43;-53,47;39,08;85,10
3,087728;-52,85;-54,05;41,24;86,11
3,107981;-53,62;-54,69;44,16;88,41
3,128109;-54,76;-54,20;43,41;88,44
3,149881;-54,61;-53,17;40,49;86,31
3,168430;-53,62;-53,45;39,23;85,27
3,187849;-53,53;-54,37;41,91;87,05
3,208961;-54,33;-54,61;44,41;88,92
3,228626;-54,97;-54,14;43,25;88,45
3,251043;-54,03;-53,80;39,93;86,07
3,268980;-52,85;-54,05;39,51;85,30
3,288789;-52,83;-54,78;42,66;87,25
3,308795;-53,81;-54,82;44,69;88,87
3,329657;-54,56;-54,03;42,66;87,84
3,350470;-53,60;-53,75;39,57;85,60
3,369864;-52,59;-54,46;39,79;85,53
3,390198;-52,93;-55,19;42,81;87,64
3,410597;-54,22;-54,78;44,24;88,87
3,430093;-54,71;-53,90;41,69;87,38
3,451523;-53,62;-53,82;38,90;85,35
3,470468;-52,80;-54,55;39,93;85,78
3,490863;-53,04;-55,36;43,38;88,09
3,511234;-54,18;-54,95;44,11;88,89
3,531110;-54,37;-53,67;41,20;86,80
3,551146;-53,47;-53,56;39,06;85,17
3,571207;-52,74;-54,24;40,85;85,97
3,590987;-53,36;-54,82;43,79;88,14
3,611790;-54,31;-54,40;43,64;88,40
3,631405;-54,16;-53,50;40,38;86,18
3,653119;-53,23;-53,37;38,67;84,72
3,671828;-52,63;-54,09;41,15;85,95
3,691932;-53,64;-54,52;44,09;88,28
3,712577;-54,75;-53,95;43,34;88,24
3,732410;-54,54;-53,43;40,21;86,29
3,753855;-53,58;-53,73;39,55;85,57
3,772283;-53,26;-54,57;42,31;87,21
3,792049;-54,24;-54,67;44,58;88,98
3,812586;-55,05;-54,14;42,94;88,35
3,833431;-54,43;-53,45;39,74;86,01
3,852014;-53,34;-54,05;39,63;85,65
3,872459;-53,21;-54,97;42,48;87,50
3,892479;-54,16;-54,74;43,98;88,68
3,912139;-54,61;-53,84;41,71;87,30
3,932604;-53,96;-53,49;38,95;85,38
3,952969;-53,17;-54,10;39,53;85,54
3,974222;-53,41;-54,70;42,68;87,56
3,993766;-54,46;-54,61;43,51;88,55
4,013515;-54,54;-53,71;40,84;86,76
4,034553;-53,62;-53,43;38,73;85,03
4,054917;-52,87;-54,01;40,23;85,62
4,074560;-53,66;-54,61;43,19;87,90
4,093836;-54,54;-54,25;43,53;88,39
4,116726;-54,46;-53,35;40,51;86,34
4,135179;-53,49;-53,35;38,74;84,91
4,155442;-52,98;-53,90;41,01;85,99
4,175261;-53,88;-54,05;43,94;88,06
4,194889;-54,73;-53,69;43,19;87,99
4,215644;-54,35;-53,13;40,08;85,92
4,236476;-52,89;-53,43;39,03;84,71
4,255825;-52,87;-54,37;41,56;86,48
4,276143;-53,81;-54,50;44,07;88,36
4,295833;-54,58;-53,90;42,78;87,83
4,315997;-53,94;-53,39;39,55;85,58
4,336245;-52,96;-54,05;39,16;85,20
4,356106;-52,95;-54,91;42,16;87,15
4,376589;-53,98;-54,84;43,88;88,58
4,396839;-55,03;-54,12;41,99;87,87
4,418268;-54,20;-53,49;39,20;85,64
4,437937;-53,17;-54,18;39,63;85,63
4,456648;-53,53;-54,99;42,83;87,88
4,476897;-54,46;-54,85;44,05;88,97
4,497590;-55,05;-53,94;41,41;87,48
4,516935;-54,09;-53,43;39,10;85,49
4,537422;-53,28;-53,86;40,64;85,97
4,557529;-53,66;-54,50;43,96;88,21
4,577659;-54,41;-54,29;44,31;88,72
4,597742;-54,45;-53,49;41,48;86,87
4,618479;-53,41;-53,64;39,53;85,40
4,638505;-52,89;-54,40;41,45;86,46
4,658679;-53,53;-54,85;44,63;88,69
4,678977;-54,52;-54,65;44,18;88,94
4,704848;-54,43;-53,95;40,92;86,88
4,719819;-53,43;-54,03;39,55;85,67
4,739756;-53,11;-54,84;41,82;87,05
4,758960;-53,90;-54,91;44,56;88,92
4,779475;-54,69;-54,12;43,51;88,39
4,799555;-54,37;-53,15;40,15;85,98
4,820460;-53,17;-53,50;39,40;85,10
4,839610;-53,02;-54,37;42,49;87,02
4,860481;-53,98;-54,52;44,37;88,62
4,879756;-54,56;-53,77;42,55;87,62
4,899620;-54,00;-53,17;39,63;85,51
4,920217;-53,49;-53,77;39,46;85,49
4,942329;-53,60;-54,70;42,59;87,63
4,961040;-54,39;-54,74;44,26;88,96
4,981041;-54,84;-53,95;41,76;87,54
5,001596;-54,05;-53,69;38,69;85,45
5,021574;-53,02;-54,14;39,63;85,51
5,041517;-53,40;-55,00;42,68;87,74
5,061614;-54,39;-54,50;43,54;88,46
5,081375;-54,43;-53,49;40,92;86,59
5,101262;-53,40;-53,28;38,65;84,76
