time;Bx;By;Bz;BT
2,895333;7,73;18,25;-27,27;33,72
2,915356;6,32;18,03;-26,56;32,72
2,934821;6,47;15,20;-26,09;30,88
2,955064;7,92;13,87;-26,51;30,94
2,974956;8,91;15,95;-27,56;33,06
2,994941;8,14;18,03;-27,44;33,83
3,015103;7,02;17,43;-26,64;32,60
3,035633;7,45;14,80;-26,47;31,23
3,056525;8,70;13,83;-26,94;31,50
3,075792;9,00;16,17;-27,59;33,23
3,096506;7,88;18,12;-27,35;33,74
3,116074;6,55;16,71;-26,69;32,17
3,135817;6,59;14,11;-26,22;30,50
3,156690;7,92;14,24;-26,92;31,46
3,176680;8,24;16,88;-27,52;33,32
3,197473;6,70;17,97;-26,81;32,96
3,216457;5,69;16,08;-26,28;31,33
3,236655;6,49;13,92;-26,43;30,57
3,257044;7,77;14,45;-27,44;31,97
3,277082;7,49;17,15;-27,82;33,52
3,296826;6,29;17,71;-27,20;33,06
3,316657;5,71;15,61;-26,47;31,25
3,337622;6,77;13,53;-26,84;30,81
3,359101;7,64;14,78;-27,74;32,35
3,377675;7,37;17,69;-27,91;33,86
3,399821;6,17;17,82;-27,16;33,07
3,418152;5,70;15,03;-26,36;30,87
3,437898;7,05;13,68;-26,86;30,96
3,458449;8,35;15,59;-27,99;33,11
3,480600;7,88;17,71;-27,91;33,98
3,499902;6,51;17,03;-26,77;32,39
3,519565;6,90;14,67;-26,51;31,07
3,538661;8,40;13,96;-27,03;31,56
3,558746;8,93;16,02;-27,59;33,13
3,579849;7,94;18,42;-27,18;33,78
3,598684;6,98;17,22;-26,19;32,11
3,619945;7,19;14,56;-26,11;30,75
3,639937;8,42;14,43;-26,82;31,60
3,659793;8,72;17,28;-27,72;33,81
3,681334;7,54;18,25;-27,22;33,63
3,700651;6,40;16,19;-26,49;31,70
3,719735;6,83;14,01;-26,69;30,91
3,740677;8,27;14,65;-28,02;32,69
3,760615;7,97;17,00;-28,53;34,15
3,780861;6,40;17,69;-27,63;33,43
3,800584;5,50;15,83;-27,29;32,03
3,820828;6,49;13,56;-27,67;31,49
3,841290;7,56;14,80;-28,34;32,86
3,861366;7,04;17,61;-28,29;34,06
3,881452;6,14;17,88;-27,54;33,40
3,901340;5,82;15,03;-26,52;31,04
3,921529;7,15;13,98;-27,09;31,31
3,942279;8,39;15,95;-28,02;33,32
3,961459;8,29;18,05;-27,89;34,24
3,982504;6,83;17,62;-26,81;32,79
4,001785;6,81;15,22;-26,60;31,39
4,021452;8,59;14,22;-27,37;32,02
4,042429;9,29;16,04;-27,78;33,40
4,062296;8,27;18,27;-27,52;34,05
4,082442;7,11;16,94;-26,67;32,39
4,102480;7,47;14,18;-26,49;30,96
4,122502;8,33;13,73;-26,90;31,33
4,142847;8,82;16,45;-27,78;33,47
4,164113;7,73;17,97;-27,14;33,46
4,184862;6,27;16,08;-26,36;31,50
4,204329;6,74;13,96;-26,51;30,70
4,224739;8,33;14,35;-27,42;32,05
4,250109;8,52;16,86;-27,80;33,61
4,265076;6,98;17,69;-27,18;33,17
4,283765;6,10;15,83;-26,66;31,60
4,304449;7,20;13,58;-26,82;30,92
4,324152;8,61;14,37;-27,84;32,49
4,348423;8,29;17,13;-28,17;34,00
4,364601;6,79;17,65;-27,61;33,47
4,384586;6,06;15,05;-26,97;31,48
4,404665;7,26;13,60;-27,24;31,30
4,425046;8,44;15,46;-27,95;33,04
4,450465;8,27;18,05;-28,12;34,42
4,466599;6,74;17,50;-27,22;33,05
4,484926;6,36;15,03;-26,71;31,30
4,505414;7,26;15,31;-27,39;32,20
4,525841;7,28;16,28;-26,71;32,12
4,546989;6,51;18,50;-26,22;32,74
4,568615;5,91;17,24;-26,41;32,09
4,586780;6,57;16,34;-25,91;31,32
4,606793;7,00;16,83;-26,36;32,04
4,626654;6,47;18,36;-26,22;32,66
4,648895;6,10;18,48;-25,76;32,28
4,667569;6,29;15,95;-25,77;30,95
4,686916;7,67;16,32;-26,88;32,37
4,707058;8,35;17,28;-27,95;33,90
4,726683;6,98;18,42;-27,03;33,45
4,746421;5,18;17,60;-26,52;32,25
4,767879;6,02;15,31;-26,79;31,43
4,788279;7,49;15,96;-27,54;32,70
4,807637;7,19;18,42;-27,76;34,08
4,827876;5,89;18,93;-26,90;33,41
4,848085;5,24;16,60;-26,02;31,30
4,868079;6,15;14,78;-26,30;30,79
4,888089;7,09;16,41;-27,18;32,53
4,908204;7,35;17,78;-27,09;33,23
4,929189;6,23;17,54;-26,32;32,23
4,947733;5,39;15,51;-25,70;30,50
4,968511;6,89;14,73;-26,09;30,74
4,988667;8,03;16,92;-27,07;32,92
5,008927;7,49;18,91;-27,42;34,14
5,029740;6,38;17,84;-26,41;32,50
5,048591;6,89;15,31;-26,21;31,12
5,068826;8,24;14,71;-27,20;32,00
5,089405;8,61;16,88;-27,93;33,75
5,110277;8,01;18,27;-27,56;34,02
5,129782;6,06;18,44;-26,77;33,07
5,150401;5,63;15,63;-25,76;30,65
5,170388;6,53;15,67;-26,21;31,22
5,190799;6,68;18,50;-26,94;33,35
5,211050;5,22;19,60;-26,11;33,06
5,230443;4,13;17,48;-25,08;30,85
5,250838;4,62;15,55;-25,34;30,09
5,272092;5,78;16,30;-26,45;31,60
5,290640;6,38;17,00;-26,82;32,39
5,311405;5,46;18,12;-26,90;32,89
5,331546;4,05;17,39;-26,39;31,87
5,353619;5,29;15,38;-26,79;31,34
5,372878;6,57;16,70;-27,80;33,09
5,391513;6,49;19,45;-27,89;34,62
5,411438;5,50;19,30;-26,73;33,43
5,432309;5,42;16,70;-26,09;31,45
5,452390;6,79;15,55;-26,62;31,57
5,472288;8,20;17,16;-27,33;33,30
5,492803;8,78;17,95;-27,20;33,75
5,512112;7,30;17,39;-26,30;32,36
5,532280;7,04;15,06;-25,91;30,78
5,553886;8,54;14,24;-26,73;31,47
5,573151;9,40;16,32;-27,67;33,47
5,592964;8,16;18,46;-27,22;33,88
5,613689;6,87;17,24;-26,54;32,39
5,633652;7,26;14,30;-26,73;31,17
5,655281;8,50;14,13;-27,46;32,03
5,674167;8,72;16,90;-27,95;33,81
5,693221;7,80;18,25;-27,63;34,02
5,713947;6,57;16,45;-26,67;32,02
5,734950;6,66;14,26;-26,51;30,83
5,753801;8,42;14,58;-27,39;32,15
5,775036;8,59;17,13;-27,82;33,78
5,795245;6,81;18,14;-27,11;33,32
5,815705;5,87;16,11;-26,45;31,52
5,835702;6,98;13,73;-26,80;30,92
5,856102;7,86;14,61;-27,52;32,13
5,875782;7,39;17,52;-27,80;33,68
5,895755;6,34;17,99;-27,10;33,14
5,916264;5,93;15,42;-26,56;31,28
5,935901;7,04;13,75;-26,95;31,07
5,956877;8,29;15,81;-27,61;32,88
5,976346;7,90;18,14;-27,61;33,97
5,998052;6,45;17,86;-26,62;32,70
6,017184;6,55;15,40;-26,04;30,95
6,036745;7,97;14,31;-26,52;31,18
6,057208;8,89;16,23;-27,29;32,97
6,077488;7,81;18,35;-27,01;33,57
6,098123;6,66;17,43;-26,36;32,29
6,118199;7,17;14,46;-26,04;30,63
6,137505;8,71;14,01;-26,67;31,36
6,157188;9,04;16,38;-27,39;33,17
6,177926;7,86;18,12;-27,01;33,46
6,197668;6,75;16,23;-26,26;31,60
6,217317;7,05;13,90;-26,32;30,59
6,237326;8,37;14,28;-27,26;31,89
6,258071;8,40;17,26;-27,84;33,81
6,278320;6,75;18,18;-27,35;33,53
6,306870;5,40;16,17;-26,67;31,66
6,322753;6,38;14,18;-27,03;31,19
6,338349;7,86;15,12;-27,93;32,72
6,358635;7,50;17,80;-28,27;34,24
6,378674;6,02;18,44;-27,71;33,82
6,403445;5,89;16,02;-27,05;31,99
6,418880;7,04;14,05;-27,26;31,46
6,439513;8,12;15,70;-28,06;33,17
6,458806;8,01;18,33;-27,95;34,37
6,479179;6,68;18,03;-26,94;33,09
6,499424;6,38;15,25;-26,37;31,13
6,520159;7,92;14,46;-26,79;31,46
6,540389;9,02;16,21;-27,37;33,06
6,560412;8,07;18,31;-27,16;33,73
6,579925;6,70;17,33;-26,07;32,02
6,599854;7,07;14,97;-25,96;30,79
6,620981;8,50;14,54;-26,86;31,70
6,639744;9,12;16,70;-27,48;33,42
6,660260;7,92;18,46;-27,25;33,86
6,680967;6,57;16,85;-26,66;32,21
6,700979;6,92;14,22;-26,66;30,99
6,722296;7,84;14,30;-27,50;31,97
6,741409;7,99;17,00;-28,14;33,83
6,761891;6,66;18,01;-27,35;33,42
6,781240;5,55;15,95;-26,39;31,33
6,802944;5,97;14,11;-26,86;30,92
6,821317;7,56;14,86;-27,52;32,17
6,842491;7,77;17,22;-27,50;33,36
6,864737;6,06;17,76;-26,60;32,56
6,883328;5,82;15,65;-25,83;30,75
6,902814;6,79;13,62;-26,39;30,47
6,923144;7,75;14,78;-27,29;31,99
6,943214;7,11;17,41;-27,31;33,16
6,962763;6,04;17,35;-26,32;32,10
6,983332;5,59;14,67;-25,83;30,23
7,004000;6,79;13,66;-26,66;30,71
7,023162;8,29;15,81;-27,71;32,96
7,043137;7,65;17,80;-27,89;33,96
7,063868;6,55;17,24;-26,97;32,68
7,083380;6,70;15,03;-26,47;31,16
7,103765;8,72;14,33;-27,37;32,10
7,123652;9,30;16,11;-27,91;33,55
7,143946;8,07;18,40;-27,61;34,15
7,164249;7,00;17,07;-26,82;32,56
7,185530;7,20;14,24;-26,62;31,04
7,206440;8,46;14,28;-27,09;31,77
7,224559;8,46;16,83;-27,61;33,42
7,244662;7,28;17,93;-27,35;33,50
7,264525;5,95;15,70;-26,69;31,53
7,289670;6,44;13,51;-26,88;30,76
7,306070;7,92;14,05;-27,65;32,01
7,325830;7,84;16,55;-28,02;33,48
7,345485;6,27;17,31;-27,31;32,94
7,365505;5,48;15,29;-26,43;31,02
7,386742;6,83;13,41;-26,71;30,66
7,409790;8,14;14,60;-27,37;32,07
7,428756;7,79;17,50;-27,11;33,19
7,446104;6,51;17,97;-26,52;32,69
7,466621;6,40;15,31;-26,06;30,89
7,486244;7,45;13,79;-26,47;30,76
7,506246;8,40;15,78;-27,50;32,80
7,526607;8,33;17,99;-27,78;34,13
7,546866;6,94;17,09;-26,84;32,57
7,566667;6,81;14,58;-26,45;30,96
7,587863;8,27;13,77;-27,24;31,62
7,608550;9,14;15,81;-27,84;33,29
7,627989;7,99;17,63;-27,54;33,66
7,647592;6,79;16,62;-26,52;32,03
7,667443;7,62;13,92;-25,98;30,44
7,687673;8,35;13,77;-26,54;31,05
7,708292;8,57;16,64;-27,42;33,20
7,727933;7,37;18,29;-26,84;33,31
7,747937;6,17;16,45;-26,09;31,46
7,767994;6,66;13,86;-26,09;30,29
7,790351;7,95;14,35;-26,86;31,48
7,808796;8,07;17,24;-27,63;33,55
7,829352;6,42;18,16;-27,01;33,17
7,849206;5,61;15,76;-26,24;31,12
7,869136;6,51;13,66;-26,36;30,39
7,890689;7,99;14,61;-27,33;32,01
7,910043;7,75;17,05;-27,44;33,23
7,930512;6,53;17,56;-26,58;32,52
7,950257;6,19;15,46;-26,02;30,89
7,969917;7,41;13,81;-26,39;30,69
7,990626;8,25;15,48;-27,35;32,49
8,009564;7,95;17,97;-27,31;33,65
8,030614;6,79;17,60;-26,32;32,38
8,050368;6,49;14,84;-25,74;30,41
8,070486;7,67;14,24;-26,58;31,12
8,090536;8,61;16,26;-27,56;33,14
8,111988;7,80;17,93;-27,50;33,74
8,131547;6,55;16,71;-26,69;32,17
8,151430;7,02;14,41;-26,41;30,89
8,171494;8,35;14,28;-27,61;32,19
8,190728;8,76;16,68;-28,29;33,99
8,211422;7,28;18,36;-27,95;34,23
8,232291;6,23;16,90;-27,37;32,76
8,252382;6,64;14,54;-27,39;31,71
8,273138;7,45;14,93;-28,23;32,79
8,292914;7,45;17,93;-28,53;34,51
8,312082;6,12;18,74;-27,97;34,22
8,332980;4,97;16,66;-26,86;32,00
8,352516;5,67;14,65;-27,01;31,25
8,372699;7,35;15,53;-27,76;32,65
8,392182;7,26;17,76;-27,54;33,56
8,413477;5,50;18,03;-26,62;32,61
8,433689;5,46;16,11;-25,76;30,87
8,453964;6,83;14,31;-26,30;30,71
8,474262;8,09;15,51;-26,97;32,15
8,493071;7,90;18,12;-27,01;33,47
8,513738;6,72;17,90;-26,43;32,62
