time;gain
45,559;42,11
45,670;45,35
45,782;45,31
45,893;43,99
46,005;42,69
46,116;49,66
46,227;46,45
46,338;45,09
46,450;45,64
46,562;48,15
46,673;46,24
46,785;38,98
46,896;44,60
47,006;44,14
47,118;40,37
47,223;38,15
47,335;41,07
47,440;37,22
47,550;36,55
47,661;40,15
47,772;39,51
47,883;37,60
47,993;37,81
48,103;37,54
48,209;40,46
48,321;34,50
48,433;43,40
48,544;44,57
48,647;43,04
48,759;40,20
48,870;47,49
48,980;43,11
49,093;39,03
49,204;37,24
49,308;40,64
49,413;46,21
49,524;45,59
49,636;46,10
49,746;40,50
49,858;46,40
49,963;43,62
50,075;33,42
50,187;36,98
50,297;36,35
50,409;37,85
50,522;37,12
50,633;36,14
50,740;37,22
50,850;35,32
50,962;37,77
51,073;39,12
51,175;29,11
51,286;36,44
51,398;39,38
51,506;36,47
51,617;35,50
51,729;35,87
51,840;39,11
51,952;37,57
52,063;38,53
52,175;7,79
52,280;38,06
52,391;39,18
52,502;35,60
52,615;35,75
52,724;37,83
52,836;38,57
52,947;38,19
53,059;39,85
53,165;37,01
53,276;44,66
53,386;42,93
53,498;49,18
53,606;42,99
53,717;45,05
53,822;45,23
53,934;39,55
54,046;38,34
54,150;37,02
54,262;36,26
54,374;35,38
54,485;33,10
54,593;34,87
54,704;35,09
54,816;36,30
54,927;34,85
55,036;37,15
55,147;36,78
55,250;39,66
55,361;39,90
55,473;38,86
55,584;37,65
55,695;27,89
55,806;35,82
55,912;39,07
56,024;38,15
56,133;46,45
56,245;37,07
56,353;35,62
56,463;35,56
56,575;37,37
56,683;38,34
56,790;39,04
56,901;19,71
57,010;52,97
57,122;36,93
57,233;36,38
57,344;39,85
57,456;44,93
57,558;39,61
57,669;38,68
57,774;33,87
57,877;50,91
57,989;36,72
58,094;38,12
58,201;37,00
58,313;39,39
58,423;40,20
58,534;36,94
58,644;41,29
58,753;38,12
58,864;35,38
58,969;38,97
59,081;34,15
59,187;41,21
59,299;41,04
59,410;35,57
59,521;36,54
59,633;37,38
59,739;34,86
59,851;33,98
59,959;35,26
60,071;46,18
60,176;35,31
60,287;34,65
60,390;33,43
60,502;34,40
60,607;39,92
60,709;37,68
60,821;37,05
60,924;27,89
61,035;33,65
61,146;41,48
61,258;43,77
61,366;38,15
61,476;33,28
61,580;39,09
61,690;42,15
61,802;34,19
61,913;36,01
62,022;36,82
62,129;37,76
62,241;40,63
62,353;42,28
62,463;37,39
62,573;40,44
62,683;41,00
62,793;46,04
62,900;38,69
63,010;37,32
63,120;34,89
63,231;35,23
63,334;37,64
63,446;42,18
63,557;39,50
63,666;42,61
63,772;50,85
63,880;38,54
63,992;40,59
64,097;43,13
64,209;39,22
64,313;41,50
64,424;45,31
64,533;21,61
64,644;41,66
64,756;41,98
64,868;43,55
64,977;36,47
65,087;35,28
65,198;43,40
65,309;42,51
65,421;37,91
65,532;35,98
65,642;36,99
65,753;42,75
65,863;46,82
65,974;43,01
66,077;40,34
66,187;39,69
66,298;43,36
66,407;43,23
66,517;36,49
66,622;38,99
66,733;38,63
66,844;36,82
66,956;44,87
67,064;39,66
67,176;42,67
67,288;41,34
67,396;42,15
67,508;41,46
67,620;39,21
67,725;41,08
67,830;39,20
67,941;43,78
68,050;44,92
68,159;45,04
68,270;48,14
68,376;43,85
68,488;42,58
68,600;35,87
68,711;37,90
68,822;42,77
68,928;39,90
69,039;42,33
69,145;39,19
69,257;40,22
69,368;43,43
69,479;44,22
69,590;43,13
69,700;42,53
69,807;41,49
69,919;42,70
70,031;44,11
70,143;41,43
70,255;44,32
70,363;47,57
70,473;47,96
70,585;50,73
70,697;48,72
70,808;52,56
70,919;46,50
71,031;44,49
71,143;41,21
71,254;41,55
71,365;39,53
71,476;51,27
71,584;42,48
71,695;44,08
71,806;43,47
71,917;43,54
72,028;45,84
72,136;48,40
72,240;48,28
72,351;46,00
72,463;43,21
72,575;19,61
72,683;43,09
72,794;44,07
72,905;46,82
73,016;43,51
73,128;44,01
73,239;41,21
73,350;44,95
73,462;46,92
73,573;40,75
73,684;45,70
73,790;44,93
73,901;43,61
74,010;46,91
74,122;47,66
74,233;47,85
74,340;45,20
74,450;44,91
74,561;42,61
74,672;46,06
74,775;44,89
74,886;42,65
74,990;-5,99
75,100;40,18
75,206;53,06
75,318;41,93
75,430;39,09
75,540;42,38
75,652;46,29
75,764;43,25
75,876;38,18
75,982;36,07
76,093;41,41
76,204;42,04
76,314;47,39
76,425;39,86
76,533;38,31
76,644;38,29
76,756;41,85
76,866;40,31
76,977;42,73
77,089;41,55
77,196;42,91
77,308;41,57
77,415;40,85
77,523;42,55
77,635;39,89
77,746;39,81
77,857;43,71
77,969;48,14
78,080;44,66
78,183;44,25
78,296;46,09
78,405;43,19
78,517;43,50
78,628;43,91
78,737;47,77
78,848;42,56
78,952;39,20
79,060;40,63
79,171;40,67
79,282;42,08
79,393;48,21
79,504;44,22
79,613;42,46
79,724;47,32
79,833;43,97
79,938;42,94
80,049;44,62
80,155;43,68
80,267;41,92
80,379;43,04
80,489;41,03
80,601;38,24
80,708;38,86
80,817;40,14
80,930;42,24
81,042;45,52
81,153;38,90
81,264;42,97
81,373;40,67
81,475;41,09
81,587;36,66
81,690;36,76
81,800;43,03
81,910;48,03
82,016;39,44
82,127;53,23
82,239;41,76
82,350;40,04
82,462;48,21
82,571;41,54
82,683;44,86
82,794;44,78
82,903;41,22
