time;gain
0,933;42,42
1,042;44,45
1,149;37,12
1,262;46,23
1,375;39,43
1,488;43,82
1,600;37,93
1,712;53,86
1,824;56,11
1,937;51,10
2,043;45,99
2,155;46,11
2,262;44,64
2,375;45,28
2,486;44,19
2,594;45,60
2,707;45,11
2,819;46,67
2,930;37,05
3,043;40,22
3,146;37,29
3,259;44,75
3,372;42,04
3,482;42,10
3,596;44,09
3,708;42,94
3,816;41,45
3,928;45,22
4,041;48,33
4,150;40,25
4,263;43,50
4,374;47,02
4,482;53,06
4,595;50,83
4,708;57,16
4,820;52,90
4,929;45,69
5,041;41,14
5,153;39,77
5,265;36,95
5,370;45,11
5,482;36,88
5,594;43,76
5,703;38,13
5,817;36,42
5,921;41,17
6,024;38,59
6,137;40,09
6,249;42,16
6,361;41,60
6,474;50,26
6,583;51,32
6,695;47,65
6,807;41,44
6,918;40,02
7,030;37,23
7,142;37,13
7,248;39,67
7,359;45,88
7,471;39,43
7,582;37,44
7,692;38,74
7,800;37,09
7,911;35,90
8,023;37,12
8,127;39,65
8,238;44,60
8,350;45,62
8,461;43,94
8,573;47,74
8,684;46,47
8,796;44,74
8,907;44,15
9,017;46,25
9,128;43,08
9,240;45,61
9,351;43,20
9,463;56,99
9,575;43,01
9,680;41,20
9,792;44,01
9,903;42,10
10,014;45,54
10,123;44,40
10,235;40,79
10,337;41,50
10,448;52,25
10,550;42,34
10,660;46,88
10,772;46,58
10,883;45,32
10,986;46,84
11,098;38,26
11,210;46,72
11,321;48,21
11,434;48,78
11,546;48,93
11,652;35,43
11,763;33,10
11,874;34,81
11,986;31,88
12,098;38,21
12,209;36,13
12,319;38,93
12,430;41,54
12,542;43,72
12,654;45,76
12,766;46,77
12,869;49,07
12,981;46,76
13,092;46,10
13,203;40,02
13,315;44,97
13,427;46,17
13,541;47,89
13,652;43,03
13,765;45,80
13,874;43,64
13,985;37,06
14,096;36,60
14,208;35,16
14,320;35,54
14,425;34,47
14,537;36,02
14,647;33,51
14,758;44,75
14,866;41,50
14,973;40,24
15,085;44,57
15,196;40,95
15,308;43,33
15,419;28,26
15,530;47,10
15,642;42,24
15,754;39,72
15,857;42,52
15,962;40,84
16,074;44,13
16,183;45,77
16,295;44,98
16,403;39,66
16,513;41,89
16,623;42,31
16,735;42,38
16,837;45,18
16,947;47,66
17,059;45,10
17,170;38,27
17,282;37,54
17,393;48,80
17,505;37,71
17,607;42,27
17,719;43,80
17,828;42,84
17,939;42,30
18,053;42,55
18,164;45,25
18,276;46,18
18,388;44,95
18,498;40,12
18,606;46,20
18,718;37,80
18,830;43,10
18,942;41,37
19,055;45,44
19,166;44,43
19,269;42,28
19,381;42,35
19,493;41,46
19,604;44,93
19,716;47,73
19,827;40,38
19,938;43,83
20,046;42,10
20,155;45,62
20,268;44,92
20,373;38,86
20,486;39,07
20,598;47,38
20,706;46,51
20,818;43,94
20,930;45,87
21,039;43,89
21,143;42,74
21,255;40,57
21,367;40,54
21,474;36,75
21,578;46,27
21,689;45,60
21,801;38,19
21,911;36,34
22,022;45,32
22,133;41,42
22,244;42,12
22,348;45,81
22,459;41,34
22,570;46,43
22,680;43,70
22,791;40,05
22,903;35,80
23,015;34,88
23,123;44,05
23,230;47,13
23,342;46,94
23,453;46,99
23,563;44,61
23,674;44,23
23,783;45,75
23,895;38,79
24,006;38,46
24,116;44,12
24,228;37,82
24,333;31,32
24,444;35,91
24,556;11,19
24,666;34,95
24,767;35,38
24,878;32,75
24,985;33,84
25,097;35,58
25,202;34,62
25,314;36,75
25,425;40,05
25,537;34,59
25,649;35,01
25,760;33,04
25,870;34,30
25,981;32,80
26,088;34,56
26,200;37,61
26,311;34,91
26,422;36,91
26,527;35,89
26,639;33,49
26,750;35,78
26,860;34,35
26,969;31,09
27,081;33,79
27,192;34,24
27,304;40,88
27,406;39,56
27,518;38,60
27,625;35,05
27,737;35,70
27,848;38,09
27,959;36,46
28,071;34,89
28,179;34,96
28,290;36,13
28,401;37,37
28,511;33,57
28,622;35,70
28,734;33,38
28,846;34,23
28,948;32,00
29,057;34,28
29,168;35,83
29,279;37,93
29,390;45,68
29,496;42,78
29,607;42,05
29,711;40,20
29,814;43,93
29,926;40,37
30,037;41,06
30,147;36,89
30,257;32,80
30,369;35,69
30,480;37,74
30,592;39,26
30,703;37,47
30,815;40,54
30,926;50,74
31,037;49,34
31,149;38,22
31,257;35,49
31,367;33,60
31,479;37,87
31,587;34,34
31,698;43,85
31,810;39,35
31,922;39,43
32,034;42,39
32,146;43,17
32,250;42,32
32,362;38,36
32,474;35,02
32,585;39,80
32,693;30,45
32,804;36,82
32,915;39,74
33,027;48,11
33,138;52,00
33,250;42,87
33,362;47,42
33,473;40,67
33,585;35,55
33,696;17,75
33,807;35,15
33,918;36,56
34,030;34,47
34,140;34,10
34,251;36,32
34,358;36,95
34,469;36,30
34,576;33,32
34,687;35,07
34,798;38,17
34,910;44,05
35,021;39,23
35,133;43,54
35,243;35,82
35,355;47,69
35,463;47,30
35,575;39,16
35,683;38,63
35,795;37,43
35,906;37,67
36,016;35,53
36,128;34,99
36,239;35,71
36,350;35,24
36,461;36,67
36,573;40,55
36,685;45,51
36,793;46,02
36,905;47,65
37,012;32,95
37,119;40,91
37,230;42,20
37,340;37,17
37,446;34,17
37,549;41,24
37,660;40,31
37,766;38,67
37,873;35,90
37,985;36,64
38,097;46,80
38,208;48,34
38,319;43,29
38,430;49,00
38,541;45,85
38,652;48,98
38,763;46,90
38,868;42,55
38,970;38,38
39,081;39,30
39,193;40,02
39,304;42,09
39,415;48,46
39,521;51,74
39,632;43,71
39,744;38,05
39,856;39,32
39,967;38,92
40,072;36,04
40,184;36,08
40,290;36,34
40,400;41,71
40,509;40,77
40,620;35,43
40,727;37,82
40,838;37,39
40,949;36,58
41,057;35,96
41,166;36,12
41,274;36,63
41,386;37,49
41,493;36,11
41,604;37,79
41,716;35,92
41,827;38,08
41,932;34,83
42,043;34,73
42,154;37,23
42,263;40,46
42,375;39,40
42,487;41,06
42,598;41,65
42,707;37,82
42,818;37,06
42,920;41,08
43,031;37,82
43,140;40,52
43,251;43,62
43,362;47,54
43,473;49,14
43,580;45,99
43,692;44,97
43,804;43,58
43,916;44,35
44,028;45,48
44,139;36,36
44,250;44,86
44,362;45,94
44,474;45,09
44,584;47,02
44,690;46,45
44,802;45,28
44,914;44,49
45,018;44,53
45,130;45,19
45,232;43,85
45,343;44,57
45,448;26,45
