time;gain
43,789;51,68
43,901;50,78
44,009;51,12
44,121;53,08
44,227;50,95
44,339;52,79
44,445;52,68
44,550;54,14
44,661;55,13
44,769;55,12
44,880;53,79
44,987;52,04
45,096;53,91
45,208;54,35
45,318;57,47
45,430;54,32
45,541;52,28
45,648;51,75
45,759;50,90
45,865;48,83
45,972;51,18
46,082;48,87
46,186;52,94
46,297;52,66
46,408;55,70
46,519;51,86
46,623;50,57
46,734;49,10
46,845;50,40
46,957;52,61
47,062;50,24
47,173;51,41
47,284;51,98
47,393;51,67
47,500;53,37
47,612;51,73
47,723;63,29
47,828;51,99
47,939;51,48
48,051;48,32
48,162;47,29
48,273;47,29
48,385;48,35
48,496;47,77
48,606;58,91
48,717;55,67
48,826;40,68
48,928;45,34
49,039;45,76
49,150;50,21
49,260;48,18
49,373;43,65
49,483;48,86
49,594;50,97
49,705;45,71
49,808;49,12
49,919;49,15
50,030;52,83
50,141;49,31
50,252;51,93
50,360;51,21
50,471;51,04
50,582;51,29
50,693;53,28
50,805;48,43
50,917;50,75
51,023;49,14
51,129;48,14
51,236;36,27
51,347;44,04
51,458;44,43
51,569;42,96
51,680;42,09
51,792;42,44
51,903;45,41
52,014;43,74
52,126;43,85
52,237;43,51
52,347;44,97
52,458;44,39
52,569;45,89
52,680;53,47
52,787;50,34
52,897;49,16
53,008;50,26
53,118;50,90
53,229;50,06
53,340;52,84
53,451;48,73
53,562;50,47
53,673;49,22
53,784;52,16
53,895;49,29
54,007;51,41
54,118;49,87
54,229;47,05
54,336;49,18
54,445;47,96
54,557;54,43
54,668;54,40
54,770;50,72
54,883;54,87
54,994;53,93
55,105;51,91
55,216;49,48
55,328;56,52
55,439;52,39
55,549;52,51
55,655;49,94
55,766;51,46
55,880;48,26
55,991;46,56
56,102;46,30
56,213;50,93
56,325;48,95
56,433;45,76
56,544;53,08
56,653;59,65
56,760;40,51
56,870;49,43
56,981;47,04
57,094;47,92
57,205;50,67
57,309;49,83
57,420;49,98
57,527;49,53
57,637;50,47
57,746;48,88
57,858;51,41
57,965;-22,04
58,070;50,38
58,180;49,65
58,290;49,85
58,402;48,11
58,511;48,59
58,622;59,09
58,734;51,41
58,845;46,04
58,957;43,28
59,065;44,32
59,176;46,82
59,287;51,50
59,396;48,75
59,508;45,42
59,619;45,89
59,730;45,82
59,842;41,22
59,953;44,04
60,064;45,16
60,175;43,90
60,286;46,19
60,398;45,70
60,509;46,24
60,621;46,10
60,733;47,73
60,844;46,29
60,956;46,61
61,067;46,88
61,178;49,54
61,285;51,47
61,396;50,38
61,504;51,67
61,608;51,47
61,712;51,20
61,823;50,79
61,934;51,02
62,043;52,82
62,146;54,33
62,257;52,17
62,359;51,95
62,470;48,88
62,576;25,96
62,687;48,46
62,798;54,87
62,909;51,11
63,020;49,09
63,129;47,95
63,240;49,37
63,351;45,15
63,462;45,91
63,573;46,53
63,684;47,23
63,793;45,37
63,904;46,41
64,013;49,55
64,124;55,63
64,233;43,44
64,344;46,67
64,455;49,58
64,566;45,35
64,678;44,22
64,789;44,23
64,897;45,57
65,008;47,85
65,113;48,39
65,224;48,24
65,331;49,77
65,440;52,47
65,549;49,61
65,660;52,73
65,764;49,22
65,876;47,05
65,982;51,16
66,093;56,23
66,199;44,94
66,310;52,03
66,421;52,81
66,531;52,64
66,642;51,92
66,754;56,56
66,865;53,73
66,973;54,97
67,084;53,26
67,195;58,53
67,303;47,27
67,414;52,63
67,519;51,97
67,629;49,88
67,740;51,67
67,849;49,69
67,954;51,78
