time;Bx;By;Bz;BT
2,836002;0,17;-50,97;76,02;91,53
2,855802;0,29;-51,25;75,95;91,62
2,876905;0,38;-51,42;75,95;91,72
2,896988;0,53;-51,25;75,93;91,61
2,916452;0,74;-51,31;75,96;91,67
2,936591;0,75;-51,20;75,72;91,41
2,956998;0,34;-50,92;75,61;91,15
2,976403;0,15;-50,88;75,74;91,24
2,996863;0,29;-50,67;75,91;91,27
3,017287;0,25;-50,75;75,81;91,23
3,037924;0,15;-50,52;75,78;91,07
3,057544;0,02;-50,58;75,74;91,07
3,079236;0,10;-50,69;75,65;91,06
3,097977;0,14;-50,75;75,83;91,25
3,117737;0,40;-50,79;75,93;91,35
3,137806;0,53;-50,73;75,80;91,21
3,158317;0,45;-51,10;75,74;91,37
3,178800;0,38;-51,05;76,04;91,59
3,199084;0,42;-51,24;75,91;91,58
3,218951;0,36;-51,27;76,04;91,71
3,238960;0,21;-51,07;76,06;91,61
3,258957;0,02;-50,90;76,04;91,50
3,279587;-0,03;-51,14;75,96;91,58
3,299531;0,27;-51,12;75,95;91,55
3,318735;0,19;-50,73;75,80;91,21
3,338620;0,00;-50,88;75,59;91,12
3,359260;-0,01;-50,67;75,87;91,24
3,379820;0,04;-50,58;75,95;91,25
3,400118;0,08;-50,54;75,85;91,15
3,419729;0,32;-50,79;75,68;91,14
3,439543;-0,03;-50,71;75,91;91,29
3,461545;-0,35;-50,88;75,98;91,44
3,480621;-0,16;-51,07;76,23;91,75
3,500724;0,08;-50,82;76,11;91,52
3,520225;0,08;-50,99;76,02;91,54
3,540105;0,15;-50,99;76,08;91,58
3,561782;0,10;-51,18;76,06;91,67
3,580741;0,12;-51,07;76,26;91,78
3,601689;0,51;-51,01;76,10;91,61
3,621293;0,51;-50,97;76,02;91,53
3,641376;0,29;-50,75;75,89;91,29
3,661009;0,04;-50,73;76,10;91,45
3,681506;0,08;-50,56;76,19;91,44
3,701481;0,02;-50,73;75,98;91,36
3,722786;-0,15;-50,75;76,00;91,39
3,742656;-0,33;-50,71;75,91;91,29
3,763955;-0,35;-50,69;75,93;91,29
3,782916;-0,26;-50,73;76,19;91,53
3,803289;0,04;-50,80;76,26;91,64
3,822874;0,21;-50,71;76,26;91,58
3,842679;0,04;-50,84;76,30;91,69
3,863140;0,08;-50,58;76,17;91,43
3,882770;0,14;-50,58;76,26;91,51
3,903553;0,17;-50,73;76,15;91,50
3,923759;0,12;-50,77;76,15;91,52
3,944420;0,19;-50,69;76,02;91,37
3,964345;-0,01;-50,75;76,00;91,39
3,983701;-0,18;-50,94;75,95;91,44
4,003997;-0,03;-50,82;75,85;91,30
4,024409;0,02;-50,90;75,98;91,45
4,044533;-0,01;-50,93;75,87;91,38
4,063964;-0,01;-50,90;76,02;91,49
4,084069;0,17;-50,90;75,89;91,38
4,104048;0,14;-50,77;75,83;91,26
4,130506;-0,03;-51,03;75,65;91,25
4,144530;0,14;-50,90;75,61;91,14
4,164027;0,14;-51,03;75,65;91,25
4,184885;0,00;-51,25;75,74;91,45
4,204974;0,06;-51,16;75,70;91,37
4,228751;0,12;-51,14;75,66;91,33
4,246014;-0,11;-51,07;75,83;91,42
4,265604;0,00;-51,12;76,00;91,60
4,285970;0,19;-50,84;76,21;91,61
4,306025;0,14;-50,86;76,41;91,79
4,326734;0,12;-50,62;76,53;91,75
4,347005;0,00;-50,37;76,38;91,49
4,366082;0,17;-50,20;76,58;91,57
4,386180;0,06;-50,32;76,40;91,48
4,407047;0,15;-50,32;76,26;91,37
4,430513;-0,13;-50,34;76,06;91,21
4,448217;-0,31;-50,32;76,08;91,21
4,467464;-0,41;-50,22;76,02;91,11
4,487046;-0,63;-50,41;76,02;91,22
4,507516;-0,67;-50,49;76,34;91,52
4,528141;-0,80;-50,52;76,21;91,44
4,547746;-0,69;-50,54;76,66;91,82
4,568189;-0,67;-50,47;76,77;91,87
4,588004;-0,78;-50,41;76,88;91,94
4,609214;-0,73;-50,56;77,00;92,11
4,628248;-0,63;-50,62;76,83;92,00
4,648352;-0,31;-50,52;76,83;91,95
4,669186;-0,20;-50,58;76,54;91,75
4,688455;-0,09;-50,69;76,53;91,79
4,708436;-0,11;-50,58;76,21;91,46
4,729125;-0,30;-50,58;76,17;91,43
4,749902;0,02;-50,56;76,23;91,47
4,769625;0,02;-50,49;76,00;91,24
4,789612;0,04;-50,58;75,93;91,23
4,809766;-0,15;-50,75;75,80;91,22
4,829829;-0,28;-50,79;75,93;91,35
4,849484;-0,26;-50,84;76,00;91,44
4,869887;-0,33;-50,77;76,02;91,41
4,889948;-0,37;-51,03;76,23;91,73
4,909923;-0,65;-51,05;76,04;91,59
4,930631;-0,41;-51,01;76,02;91,55
4,950039;-0,58;-51,05;76,19;91,71
4,970390;-0,65;-50,97;76,32;91,78
4,990556;-0,48;-50,82;76,26;91,65
5,011233;-0,56;-50,88;76,17;91,60
5,031000;-0,46;-50,97;76,17;91,65
5,050964;-0,33;-50,90;75,91;91,39
5,070932;-0,11;-51,07;75,91;91,49
5,091217;-0,33;-51,03;76,08;91,61
5,111113;-0,15;-50,97;76,02;91,53
5,131179;0,00;-51,03;76,04;91,57
5,151651;0,00;-51,03;76,11;91,64
5,171524;-0,11;-50,99;76,04;91,55
5,192015;-0,03;-50,97;76,25;91,71
5,212207;0,17;-50,86;76,23;91,64
5,233603;0,29;-50,80;76,28;91,65
5,252260;0,15;-50,77;76,28;91,63
5,271534;0,30;-50,71;76,36;91,66
5,292215;0,32;-50,56;76,34;91,56
5,312065;0,29;-50,64;76,28;91,56
5,332162;0,34;-50,67;76,32;91,61
5,352264;0,15;-50,80;76,23;91,61
5,372872;0,06;-50,75;76,19;91,54
5,392553;-0,01;-50,80;76,23;91,61
5,413243;0,19;-50,92;76,26;91,70
5,433250;0,04;-50,84;76,32;91,70
5,454089;0,12;-50,95;76,17;91,64
5,474089;0,04;-51,09;76,21;91,75
5,494238;-0,07;-50,79;76,17;91,55
5,514289;-0,16;-50,65;76,13;91,44
5,534753;-0,18;-50,73;76,15;91,50
5,554605;-0,20;-50,71;76,11;91,46
5,575002;-0,30;-50,65;75,98;91,32
5,597066;-0,26;-50,71;76,04;91,40
5,615857;0,00;-50,49;76,04;91,27
5,635428;0,12;-50,41;75,93;91,14
5,656247;0,45;-50,58;75,91;91,22
5,676129;0,75;-50,30;75,83;91,00
5,695416;0,66;-50,39;76,10;91,27
5,716029;0,66;-50,30;76,28;91,37
5,736472;0,81;-50,54;76,30;91,53
5,756289;0,64;-50,49;76,21;91,42
5,776596;0,27;-50,56;76,23;91,47
5,796426;0,47;-50,49;76,19;91,40
5,817573;0,21;-50,35;76,32;91,43
5,837633;-0,09;-50,90;76,25;91,67
5,857759;0,10;-50,84;75,93;91,38
5,878548;0,08;-51,01;75,72;91,30
5,898751;-0,01;-50,73;75,83;91,24
5,919104;0,14;-50,84;75,85;91,31
5,937436;0,14;-50,92;75,72;91,25
5,957484;-0,18;-50,93;76,04;91,52
5,978523;-0,16;-50,86;76,11;91,54
5,997207;-0,13;-50,52;76,23;91,45
6,017357;-0,18;-50,45;76,51;91,64
6,037878;-0,22;-50,45;76,41;91,56
6,059474;-0,09;-50,54;76,28;91,51
6,078224;-0,13;-50,58;76,38;91,61
6,098547;-0,13;-50,71;76,64;91,90
6,119035;0,02;-50,73;76,58;91,86
6,139528;-0,11;-50,82;76,53;91,87
6,159118;-0,15;-50,80;76,56;91,89
6,186249;-0,39;-50,86;76,45;91,82
6,200244;-0,37;-50,95;76,62;92,02
6,219774;-0,71;-51,05;76,71;92,15
6,239819;-0,76;-50,97;76,49;91,92
6,259839;-0,71;-50,88;76,34;91,74
6,288086;-0,78;-50,90;76,13;91,58
6,302738;-0,48;-50,94;76,19;91,65
6,319993;-0,26;-51,07;76,19;91,72
6,339503;-0,03;-51,03;76,26;91,76
6,359931;-0,09;-50,77;76,30;91,65
6,383650;0,15;-50,54;76,25;91,48
6,400465;0,29;-50,54;76,21;91,44
6,420657;0,25;-50,58;76,21;91,47
6,440325;0,44;-50,62;76,26;91,53
6,460705;0,44;-50,65;76,30;91,59
6,481705;0,53;-50,79;76,34;91,69
6,501556;0,49;-50,86;76,30;91,70
6,521465;0,42;-50,95;76,21;91,67
6,541901;0,32;-50,99;76,11;91,62
6,561326;0,29;-50,94;76,06;91,54
6,581295;0,21;-50,86;76,11;91,54
6,603254;-0,03;-50,71;76,13;91,47
6,622265;-0,18;-50,88;75,95;91,41
6,643021;-0,39;-50,69;75,80;91,18
6,662735;-0,45;-50,69;75,96;91,33
6,683248;-0,43;-50,67;75,95;91,30
6,702710;-0,11;-50,84;76,08;91,50
6,722860;-0,28;-50,77;76,30;91,65
6,743173;-0,41;-50,69;76,30;91,61
6,762966;-0,22;-50,94;76,10;91,57
6,783661;-0,13;-50,84;76,00;91,44
6,803982;-0,16;-50,79;76,04;91,44
6,823965;-0,03;-50,75;75,70;91,14
6,843670;0,15;-50,67;75,98;91,33
6,864450;0,04;-50,52;75,96;91,23
6,885047;0,10;-50,77;75,72;91,16
6,904786;0,30;-51,01;75,57;91,18
6,924779;0,12;-50,90;75,87;91,36
6,945551;0,21;-50,77;76,13;91,51
6,964544;0,36;-50,97;76,21;91,68
6,985557;0,12;-50,86;76,23;91,64
7,004826;0,08;-50,86;76,10;91,53
7,025377;0,06;-51,01;76,04;91,56
7,045647;0,17;-50,84;76,28;91,67
7,066482;0,17;-50,92;76,41;91,82
7,085674;0,17;-51,05;76,45;91,93
7,106297;0,06;-51,29;76,43;92,05
7,126546;-0,09;-51,22;76,49;92,05
7,146655;0,23;-51,35;76,43;92,08
7,167590;0,06;-51,35;76,36;92,02
7,186905;-0,11;-51,46;76,38;92,09
7,205987;-0,13;-51,54;76,40;92,15
7,226609;-0,13;-51,37;76,56;92,20
7,246008;-0,11;-51,09;76,23;91,76
7,267076;-0,13;-51,01;75,89;91,44
7,286869;-0,03;-50,97;76,02;91,53
7,306419;-0,13;-50,97;76,34;91,79
7,326462;0,04;-50,97;76,21;91,68
7,347438;0,17;-50,75;76,28;91,62
7,370910;0,08;-50,65;76,21;91,51
7,388224;0,04;-50,62;76,08;91,38
