time;Bx;By;Bz;BT
2,915341;21,38;12,70;-19,62;31,68
2,937042;21,38;12,50;-19,62;31,60
2,955711;21,47;12,53;-19,85;31,81
2,975926;21,21;12,48;-19,72;31,53
2,996660;21,15;12,51;-19,49;31,37
3,015834;20,95;12,63;-19,38;31,21
3,037698;21,02;12,83;-19,15;31,20
3,055869;21,06;12,95;-19,19;31,30
3,076181;21,17;13,06;-19,15;31,40
3,096487;21,02;12,89;-19,14;31,21
3,117787;21,02;12,95;-18,87;31,08
3,137461;21,10;12,81;-19,17;31,26
3,157325;21,19;12,74;-19,25;31,34
3,176795;21,29;12,55;-19,30;31,36
3,197578;21,04;12,40;-19,45;31,23
3,217036;20,84;12,16;-19,38;30,94
3,237123;20,87;12,06;-19,38;30,93
3,257039;21,10;12,16;-19,32;31,09
3,278155;21,12;11,91;-19,38;31,04
3,298860;21,06;11,99;-19,10;30,86
3,318376;21,17;12,10;-19,04;30,94
3,339010;21,12;12,35;-19,00;30,98
3,359768;21,19;12,50;-19,08;31,13
3,378657;21,04;12,48;-18,97;30,95
3,398932;20,91;12,35;-18,93;30,79
3,419195;20,84;12,33;-19,10;30,84
3,438929;20,97;12,36;-19,29;31,06
3,461279;21,06;12,40;-19,32;31,16
3,478322;20,76;12,55;-19,53;31,14
3,498468;20,91;12,40;-19,77;31,34
3,519618;20,97;12,22;-19,83;31,34
3,538856;21,02;12,20;-20,21;31,61
3,558976;21,15;12,33;-20,52;31,95
3,579846;21,08;12,23;-20,47;31,83
3,599867;20,89;12,29;-20,36;31,65
3,620299;20,69;12,31;-20,13;31,38
3,640068;20,85;12,20;-20,02;31,37
3,660111;20,63;12,10;-19,76;31,02
3,679961;20,70;12,25;-19,70;31,09
3,700733;20,72;12,33;-19,55;31,04
3,721797;20,69;12,29;-19,42;30,92
3,741273;20,59;12,61;-19,34;30,94
3,761507;20,65;12,51;-19,40;30,97
3,781374;20,72;12,33;-19,59;31,06
3,804407;20,85;12,20;-19,59;31,10
3,821442;21,17;12,33;-19,77;31,48
3,842108;21,02;12,44;-19,70;31,38
3,861856;20,84;12,33;-19,68;31,20
3,881168;20,89;12,31;-19,47;31,10
3,901438;21,04;12,23;-19,36;31,10
3,922247;21,08;12,14;-19,32;31,07
3,943770;21,00;12,33;-19,30;31,08
3,962204;20,93;12,48;-19,32;31,10
3,982645;20,59;12,42;-19,21;30,78
4,002185;20,82;12,29;-19,12;30,82
4,022196;21,19;12,31;-19,14;31,09
4,043732;21,15;12,40;-19,10;31,08
4,063186;20,91;12,29;-19,34;31,02
4,083253;21,00;12,59;-19,38;31,23
4,103484;21,27;12,78;-19,55;31,59
4,123808;21,51;12,59;-19,57;31,69
4,144147;21,81;12,59;-19,51;31,86
4,163882;21,59;12,59;-19,64;31,78
4,185091;21,49;12,81;-19,47;31,71
4,205998;21,38;12,61;-19,49;31,56
4,224347;21,72;12,76;-19,38;31,78
4,244763;21,60;12,48;-19,23;31,50
4,264767;21,62;12,05;-19,17;31,31
4,291562;21,32;12,05;-18,91;30,94
4,306971;21,14;12,03;-18,72;30,69
4,324645;21,06;12,14;-18,48;30,54
4,345731;21,14;11,97;-18,63;30,61
4,365197;21,25;12,05;-18,82;30,83
4,384511;21,21;11,97;-18,72;30,72
4,404840;21,10;11,91;-18,84;30,69
4,425197;20,80;12,01;-18,87;30,54
4,445355;20,80;11,82;-19,27;30,72
4,465775;20,91;11,91;-19,61;31,04
4,486749;21,14;11,60;-19,74;31,16
4,508161;21,04;11,82;-19,74;31,18
4,526766;21,15;11,88;-19,77;31,30
4,546776;21,12;11,93;-19,89;31,37
4,566711;21,12;12,01;-20,02;31,48
4,587622;21,53;12,12;-20,13;31,87
4,607309;21,64;12,36;-20,11;32,03
4,627019;21,55;12,36;-20,02;31,90
4,647379;21,45;12,59;-20,07;31,96
4,667256;21,27;12,46;-20,02;31,75
4,687490;21,25;12,48;-19,98;31,72
4,707470;21,17;12,48;-20,11;31,76
4,727565;21,00;12,61;-20,02;31,64
4,747649;20,72;12,66;-20,00;31,46
4,768009;20,78;12,61;-19,85;31,38
4,788232;20,99;12,65;-19,83;31,52
4,808126;21,12;12,65;-19,92;31,67
4,830288;21,36;12,76;-20,04;31,95
4,848981;21,30;12,63;-20,00;31,83
4,868689;21,45;12,48;-19,66;31,66
4,888138;21,59;12,48;-19,62;31,73
4,908325;21,68;12,48;-19,62;31,79
4,929988;21,53;12,31;-19,87;31,78
4,949204;21,29;12,59;-19,89;31,73
4,969268;21,10;12,44;-19,72;31,44
4,989279;20,95;12,33;-19,47;31,14
5,010997;20,78;12,42;-19,51;31,09
5,030057;20,63;12,53;-19,72;31,17
5,050459;20,52;12,35;-19,70;31,01
5,069574;20,33;12,35;-19,51;30,76
5,089784;20,54;12,46;-19,30;30,82
5,110025;20,54;12,20;-19,34;30,73
5,130597;20,35;12,33;-19,44;30,72
5,150672;20,50;12,35;-19,55;30,90
5,170519;20,67;12,25;-19,51;30,95
5,190515;20,91;12,31;-19,62;31,21
5,211734;21,14;12,44;-19,44;31,29
5,231448;21,27;12,40;-19,59;31,46
5,251434;21,02;12,70;-19,70;31,49
5,271913;21,08;12,55;-19,85;31,56
5,291900;21,32;12,57;-19,83;31,72
5,310926;21,25;12,40;-19,89;31,63
5,331457;21,30;12,46;-19,72;31,59
5,351729;21,14;12,36;-19,74;31,45
5,372225;21,25;12,08;-19,94;31,55
5,391619;21,21;12,12;-19,94;31,54
5,412692;21,25;11,71;-20,04;31,46
5,432441;21,25;11,75;-19,83;31,35
5,452977;21,32;11,73;-19,98;31,49
5,473022;21,40;11,86;-20,19;31,72
5,493197;21,45;12,18;-20,28;31,94
5,512665;21,40;12,06;-20,36;31,90
5,533062;21,10;12,16;-20,34;31,73
5,553106;21,19;12,16;-20,34;31,79
5,573203;21,19;12,48;-20,21;31,83
5,595154;21,30;12,50;-20,39;32,03
5,615736;21,06;12,48;-20,34;31,82
5,633882;21,27;12,50;-20,19;31,87
5,653924;21,10;12,20;-20,15;31,62
5,673488;21,10;12,36;-20,09;31,65
5,694269;21,15;12,55;-20,22;31,84
5,714275;21,06;12,48;-20,07;31,66
5,734449;20,95;12,50;-19,83;31,44
5,754702;20,69;12,53;-19,53;31,09
5,781040;20,85;12,57;-19,47;31,18
5,796178;20,69;12,57;-19,53;31,10
5,820408;20,80;12,46;-19,47;31,10
5,835167;20,91;12,31;-19,16;30,91
5,857332;21,14;12,35;-18,97;30,97
5,876274;21,19;12,23;-19,04;31,01
5,898529;21,42;11,88;-19,21;31,13
5,916725;21,45;11,93;-19,34;31,25
5,937089;21,53;11,95;-19,29;31,28
5,956028;21,47;11,92;-19,10;31,11
5,977038;21,38;11,95;-19,27;31,16
5,997835;21,27;12,06;-19,32;31,16
6,017909;20,97;11,95;-19,10;30,78
6,036402;20,89;11,95;-19,06;30,70
6,057093;20,76;12,27;-18,84;30,60
6,077681;20,87;12,16;-18,95;30,70
6,099225;20,67;12,14;-19,01;30,59
6,117694;20,80;12,14;-19,19;30,79
6,137521;20,74;12,21;-19,04;30,69
6,157848;20,63;12,23;-19,19;30,72
6,177487;20,80;12,53;-19,34;31,05
6,198487;20,80;12,76;-19,42;31,18
6,228832;20,78;12,59;-19,72;31,29
6,237963;20,72;12,51;-19,70;31,21
6,263853;20,72;12,48;-19,76;31,23
6,278990;20,46;12,48;-19,76;31,06
6,300844;20,50;12,61;-19,79;31,16
6,319022;20,59;12,57;-19,72;31,16
6,341380;20,65;12,20;-19,77;31,08
6,359813;20,72;11,97;-19,83;31,08
6,380177;20,74;12,08;-19,66;31,03
6,400056;20,67;12,06;-19,49;30,86
6,419833;20,69;12,12;-19,25;30,75
6,440670;20,63;12,23;-19,21;30,73
6,460589;20,69;12,21;-19,19;30,75
6,483084;20,80;12,14;-19,21;30,81
6,501197;20,69;12,36;-19,29;30,87
6,520851;20,61;12,63;-19,10;30,81
6,541771;20,72;12,48;-19,17;30,87
6,560728;20,69;12,66;-19,30;31,00
6,582272;20,76;12,74;-19,55;31,23
6,601573;20,93;12,78;-19,64;31,42
6,620754;20,99;12,72;-19,87;31,57
6,640777;20,99;12,76;-19,87;31,59
6,661144;20,99;12,72;-19,87;31,57
6,681136;20,99;12,63;-19,96;31,60
6,703285;20,69;12,74;-20,02;31,48
6,721507;20,87;12,70;-19,83;31,47
6,742117;20,80;12,59;-19,79;31,35
6,762700;20,74;12,48;-19,68;31,20
6,784988;20,55;12,53;-19,59;31,04
6,802022;20,44;12,65;-19,51;30,96
6,821948;20,52;12,63;-19,44;30,95
6,842195;20,52;12,59;-19,44;30,94
6,862939;20,50;12,61;-19,42;30,92
6,882830;20,52;12,68;-19,57;31,06
6,902602;20,59;12,74;-19,60;31,16
6,922741;20,65;12,68;-19,62;31,18
6,942553;20,70;12,72;-19,40;31,09
6,962972;20,72;12,48;-19,42;31,02
6,983332;20,59;12,48;-19,51;30,99
7,003193;20,74;12,63;-19,44;31,10
7,023520;21,08;12,65;-19,45;31,35
7,044443;21,02;12,50;-19,53;31,30
7,064069;21,02;12,23;-19,25;31,02
7,085136;21,00;12,38;-19,14;31,00
7,104789;21,02;12,36;-19,34;31,13
7,123681;21,25;12,50;-19,57;31,47
