time;Bx;By;Bz;BT
2,868481;26,42;1,68;-14,97;30,42
2,889108;26,37;1,58;-15,29;30,52
2,909077;26,39;2,09;-15,31;30,58
2,929571;26,42;1,94;-15,18;30,54
2,950309;26,46;2,16;-15,05;30,52
2,969760;26,33;2,11;-15,05;30,40
2,989764;26,37;1,94;-15,37;30,58
3,009804;26,27;1,83;-15,31;30,46
3,029929;26,27;1,88;-15,27;30,45
3,050444;26,29;2,00;-15,29;30,48
3,070050;26,35;1,73;-15,07;30,40
3,090311;26,54;1,60;-15,33;30,69
3,110933;26,59;1,64;-15,37;30,76
3,131346;26,40;1,77;-15,33;30,58
3,150969;26,52;1,70;-15,12;30,57
3,171301;26,59;1,70;-15,16;30,66
3,191149;26,54;1,66;-14,96;30,51
3,211725;26,52;1,64;-14,94;30,48
3,232032;26,44;1,81;-15,01;30,46
3,253294;26,50;1,98;-14,96;30,49
3,272315;26,65;1,70;-15,14;30,70
3,292426;26,85;1,64;-14,90;30,75
3,312466;26,76;1,56;-14,99;30,71
3,333280;26,72;1,60;-14,82;30,60
3,353383;26,65;1,55;-14,94;30,59
3,373666;26,48;1,51;-14,97;30,46
3,393153;26,54;1,28;-14,94;30,48
3,413140;26,27;1,19;-14,62;30,09
3,433040;26,22;1,47;-14,47;29,98
3,454073;25,99;1,56;-14,60;29,85
3,475702;26,27;1,71;-14,58;30,10
3,494345;26,44;1,68;-14,66;30,28
3,514132;26,67;1,58;-14,66;30,47
3,534984;26,82;1,47;-14,51;30,52
3,553569;26,65;1,53;-14,66;30,45
3,575691;26,72;1,86;-14,82;30,62
3,595292;26,44;1,83;-14,79;30,35
3,614451;26,59;1,66;-14,94;30,54
3,634489;26,39;1,53;-14,88;30,33
3,655547;26,31;1,43;-15,20;30,42
3,675456;26,07;1,68;-15,14;30,19
3,698594;25,97;1,75;-15,14;30,12
3,715365;26,07;1,81;-15,01;30,14
3,735239;26,09;1,51;-15,33;30,29
3,756563;26,31;1,58;-15,24;30,45
3,775772;26,40;1,68;-15,01;30,42
3,798405;26,14;1,81;-15,14;30,27
3,816709;26,09;2,03;-14,96;30,14
3,837466;26,20;1,75;-15,01;30,25
3,857185;26,09;1,83;-15,03;30,16
3,876892;25,99;1,73;-15,07;30,09
3,896627;26,03;1,92;-14,81;30,01
3,916558;25,80;1,79;-14,90;29,85
3,936216;25,67;1,83;-15,09;29,83
3,957327;26,09;1,94;-14,94;30,12
3,977007;25,94;1,79;-14,92;29,97
3,997328;25,73;1,77;-14,90;29,78
4,017938;25,71;1,79;-15,05;29,84
