time;Bx;By;Bz;BT
2,891624;26,48;1,06;-15,48;30,69
2,911575;26,46;1,30;-15,33;30,61
2,931904;26,65;1,43;-15,01;30,62
2,952267;26,63;1,58;-15,12;30,67
2,972490;26,65;1,73;-15,24;30,75
2,993631;26,39;1,81;-15,27;30,54
3,012230;26,24;1,66;-15,39;30,46
3,032168;26,16;1,60;-15,31;30,35
3,052692;25,94;1,55;-15,29;30,15
3,072890;26,09;1,56;-15,31;30,29
3,092468;25,90;1,62;-15,22;30,08
3,112652;25,99;1,45;-15,03;30,06
3,133268;25,95;1,38;-14,90;29,96
3,153220;25,94;1,13;-14,79;29,88
3,173378;25,64;1,26;-14,69;29,58
3,192903;25,80;1,32;-14,47;29,61
3,215234;26,10;1,32;-14,60;29,94
3,233717;25,95;1,11;-14,62;29,81
3,253996;26,09;1,15;-14,84;30,04
3,273871;26,10;1,17;-14,79;30,02
3,294848;26,12;1,41;-14,88;30,10
3,313722;26,25;1,47;-14,71;30,13
3,334592;26,31;1,85;-14,75;30,22
3,354415;26,35;1,92;-14,79;30,27
3,374473;26,12;2,09;-14,75;30,07
3,395198;26,25;2,31;-14,75;30,20
3,415110;26,12;2,41;-14,67;30,06
3,435357;25,97;2,39;-14,96;30,07
3,455131;25,95;2,15;-15,03;30,07
3,475117;25,95;2,09;-15,07;30,08
3,496287;26,05;1,79;-15,07;30,15
3,515911;25,88;1,79;-15,16;30,05
3,536577;25,95;1,77;-15,31;30,19
3,555165;26,10;1,75;-15,42;30,37
3,575734;26,22;1,68;-15,39;30,44
3,596714;26,25;1,62;-15,12;30,34
3,616596;26,16;1,62;-15,16;30,28
3,636401;26,07;1,58;-15,42;30,33
3,656410;26,24;1,36;-15,50;30,50
3,677070;26,44;1,34;-15,61;30,74
3,697934;26,48;1,21;-15,44;30,68
3,717243;26,25;1,11;-15,27;30,40
3,737381;26,48;1,02;-15,46;30,68
3,758116;26,57;1,15;-15,59;30,83
3,778858;26,65;1,25;-15,22;30,71
3,799324;26,74;1,34;-15,31;30,84
3,818235;26,56;1,49;-15,12;30,60
3,838009;26,39;1,43;-15,18;30,48
3,858290;26,72;1,45;-15,29;30,82
3,879367;26,67;1,62;-15,44;30,86
3,899050;26,25;1,56;-15,29;30,42
3,919939;26,10;1,60;-15,31;30,31
3,939749;26,03;1,64;-15,48;30,33
3,958455;26,16;1,81;-15,31;30,37
3,979108;26,31;1,88;-15,27;30,48
4,000256;26,54;1,96;-15,33;30,71
4,019758;26,29;2,03;-15,31;30,49
4,039795;26,48;1,73;-15,29;30,63
4,060412;26,89;1,71;-15,39;31,03
4,079437;26,95;1,73;-15,37;31,07
4,099650;26,95;1,73;-15,57;31,17
4,119630;26,95;1,64;-15,57;31,17
4,139532;27,06;1,70;-15,82;31,39
4,159813;26,85;1,55;-15,57;31,08
4,180883;26,85;1,45;-15,52;31,05
4,200618;26,76;1,58;-15,82;31,13
4,220404;26,74;1,56;-15,80;31,10
4,240290;26,74;1,43;-15,84;31,11
4,266258;26,69;1,32;-15,72;31,00
4,281135;26,70;1,04;-15,69;30,99
4,300456;26,39;0,87;-15,74;30,74
4,320713;26,42;0,85;-15,72;30,76
4,340770;26,37;0,95;-15,69;30,70
4,364182;26,46;0,95;-15,52;30,69
4,381645;26,22;0,83;-15,54;30,49
4,401695;26,24;1,08;-15,57;30,53
4,421553;26,44;1,15;-15,24;30,54
4,441892;26,35;1,51;-15,11;30,41
4,462328;26,61;1,41;-15,01;30,59
4,483530;26,52;1,64;-15,09;30,55
4,503642;26,69;1,56;-15,01;30,66
4,522624;26,59;1,66;-14,69;30,43
4,542581;26,80;1,85;-14,45;30,50
4,566057;26,65;1,83;-14,07;30,19
4,584734;26,39;1,88;-14,24;30,04
4,603247;26,48;1,75;-14,37;30,18
4,623891;26,54;1,92;-14,34;30,22
4,643060;26,59;2,11;-14,19;30,21
4,662959;26,40;2,07;-14,19;30,05
4,684518;26,27;2,03;-14,41;30,04
4,704577;26,22;2,03;-14,64;30,09
4,724620;26,37;1,79;-14,73;30,26
4,744012;26,55;1,70;-14,69;30,40
4,763869;26,14;1,55;-14,54;29,95
4,785034;26,22;1,60;-14,41;29,96
