time;Bx;By;Bz;BT
2,893588;21,47;11,13;-19,87;31,30
2,913805;21,42;11,11;-20,17;31,45
2,933343;21,55;11,28;-20,20;31,62
2,952925;21,59;11,11;-20,52;31,79
2,972771;21,25;11,26;-20,64;31,69
2,992974;21,21;11,43;-20,43;31,59
3,013163;21,32;11,50;-20,67;31,85
3,033306;21,30;11,39;-20,69;31,81
3,054111;21,19;11,45;-20,58;31,68
3,074251;21,29;11,61;-20,30;31,62
3,094070;21,34;11,54;-20,37;31,68
3,113991;21,42;11,69;-20,17;31,66
3,133697;21,79;11,46;-20,28;31,90
3,154497;21,45;11,65;-20,43;31,83
3,174504;21,40;11,52;-20,34;31,69
3,194781;21,29;11,63;-20,41;31,70
3,214900;21,34;11,54;-20,47;31,74
3,235086;21,59;11,45;-20,67;32,01
3,255180;21,51;11,31;-20,62;31,87
3,275244;21,32;11,45;-20,88;31,96
3,298422;21,17;11,73;-20,73;31,87
3,316049;21,53;11,60;-20,60;31,97
3,336029;21,40;11,60;-20,51;31,82
3,355736;21,38;11,39;-20,43;31,69
3,375857;21,19;11,52;-20,47;31,63
3,397316;20,99;11,67;-20,58;31,62
3,418160;20,85;11,73;-20,71;31,64
3,437123;20,99;11,60;-20,58;31,60
3,457643;21,00;11,48;-20,67;31,63
3,477106;20,85;11,43;-20,60;31,46
3,498460;21,17;11,43;-20,82;31,82
3,517863;21,27;11,35;-20,95;31,94
3,539091;21,38;11,30;-21,01;32,03
3,557219;21,49;11,15;-20,94;32,01
3,577026;21,70;11,05;-20,94;32,11
3,597835;21,64;11,03;-20,84;32,01
3,616935;21,64;11,20;-20,58;31,90
3,637427;21,62;11,26;-20,62;31,93
3,657215;21,55;11,24;-20,34;31,69
3,677319;21,59;11,58;-20,30;31,81
3,697526;21,47;11,43;-20,15;31,59
3,717517;21,36;11,26;-20,13;31,44
3,738607;21,10;11,65;-20,19;31,44
3,758045;20,99;11,60;-20,28;31,40
3,778408;20,99;11,46;-20,41;31,44
3,799328;21,14;11,63;-20,47;31,64
3,818292;21,12;11,52;-20,75;31,77
3,839363;21,06;11,28;-20,67;31,59
3,859939;21,17;11,39;-20,79;31,78
3,880067;21,23;11,60;-20,81;31,91
3,899863;21,42;11,24;-20,62;31,78
3,919950;21,53;11,30;-20,56;31,84
3,940564;21,29;11,15;-20,67;31,70
3,960879;21,23;10,96;-20,71;31,62
3,981937;21,12;11,24;-20,69;31,63
4,002443;21,12;11,24;-21,05;31,86
4,023353;21,38;11,18;-21,18;32,11
4,041460;21,36;11,33;-20,99;32,02
4,061826;21,30;11,39;-21,05;32,04
4,081802;21,38;11,52;-21,05;32,14
4,104104;21,57;11,63;-20,99;32,27
4,122060;21,47;11,52;-20,80;32,04
4,142307;21,40;11,48;-20,64;31,87
4,161816;21,34;11,54;-20,34;31,66
4,182542;21,21;11,63;-20,07;31,44
4,202928;21,17;11,73;-20,24;31,55
4,223898;21,10;11,76;-20,32;31,57
4,242914;20,97;11,73;-20,28;31,44
4,263286;20,93;11,60;-20,32;31,39
4,283202;20,99;11,84;-20,24;31,47
4,304880;21,04;11,60;-20,26;31,43
4,324014;21,14;11,37;-20,34;31,46
4,344392;20,97;11,28;-20,34;31,31
4,364463;20,95;11,07;-20,22;31,15
4,386036;20,99;11,30;-19,92;31,06
4,405316;20,85;10,98;-19,83;30,80
4,424420;20,85;11,15;-19,66;30,75
4,443953;20,72;10,88;-19,72;30,61
4,464202;20,76;11,15;-19,59;30,64
4,484635;20,80;11,54;-19,36;30,67
4,504952;20,82;11,56;-19,51;30,78
4,525919;20,74;11,63;-19,55;30,79
4,545351;20,70;11,41;-19,81;30,84
4,565232;20,78;11,65;-19,92;31,06
4,585872;20,74;11,78;-19,92;31,08
4,604156;20,85;11,67;-19,98;31,15
4,624973;20,72;11,71;-20,02;31,10
4,645312;20,70;11,52;-20,22;31,15
4,665509;20,85;11,69;-20,11;31,24
4,685879;21,08;11,43;-20,15;31,32
4,706948;21,17;11,54;-20,04;31,35
4,726372;21,29;11,39;-20,05;31,38
4,746246;21,34;11,24;-20,17;31,44
4,766810;21,40;11,58;-20,15;31,59
4,786796;21,49;11,31;-20,19;31,58
4,806342;21,53;11,45;-20,15;31,63
4,826192;21,38;11,28;-20,26;31,54
4,846860;21,17;11,56;-20,19;31,45
4,867004;21,00;11,39;-20,41;31,42
4,886953;20,97;11,63;-20,47;31,53
4,907712;20,97;11,63;-20,28;31,40
4,927619;20,84;11,63;-20,11;31,21
4,948689;20,63;11,84;-20,19;31,20
4,967930;20,63;11,78;-20,09;31,11
4,990467;20,72;11,91;-19,96;31,14
5,008685;20,57;11,80;-19,72;30,84
5,027803;20,55;11,69;-19,42;30,60
5,047820;20,25;11,39;-19,29;30,20
5,068719;20,03;11,22;-19,38;30,04
5,088036;19,92;10,98;-19,57;30,00
5,108536;20,20;10,71;-19,60;30,12
5,128960;20,25;10,58;-19,47;30,02
5,149312;20,16;10,55;-19,57;30,01
5,169380;20,59;10,49;-19,74;30,39
5,191866;20,76;10,75;-19,96;30,74
5,209926;21,02;10,92;-19,92;30,95
5,230004;21,23;11,03;-20,04;31,21
5,250120;21,77;11,13;-20,00;31,59
5,270299;21,90;11,61;-20,00;31,85
5,291841;21,81;11,61;-20,04;31,81
5,310507;21,68;11,52;-19,81;31,55
5,330262;21,45;11,52;-19,81;31,39
5,350227;21,34;11,31;-19,66;31,15
5,371733;21,29;11,33;-19,68;31,13
5,391540;21,25;11,37;-19,62;31,08
5,410966;20,91;11,48;-19,77;30,99
5,430698;20,67;11,24;-19,72;30,70
5,450718;20,65;11,45;-19,92;30,89
5,471631;20,76;11,39;-20,30;31,19
5,491959;20,89;11,33;-20,34;31,28
5,511839;21,06;11,45;-20,45;31,51
5,531564;21,21;11,33;-20,47;31,58
5,551532;21,21;11,16;-20,52;31,56
5,572394;21,06;11,00;-20,28;31,24
5,592527;21,12;11,05;-20,20;31,25
5,612730;21,36;10,90;-20,13;31,31
5,631802;21,29;10,96;-20,02;31,21
5,652436;21,23;11,05;-20,15;31,29
5,673565;20,99;11,30;-20,13;31,20
5,692616;20,76;11,35;-20,19;31,10
5,712978;20,67;11,56;-20,00;30,99
5,732959;20,93;11,65;-20,13;31,29
5,752581;20,69;11,67;-20,21;31,18
5,772879;20,61;11,76;-20,15;31,13
5,793203;20,76;11,80;-20,13;31,23
5,814032;20,76;11,84;-20,04;31,19
5,833977;20,78;11,82;-20,06;31,20
5,853967;20,70;11,71;-19,98;31,06
5,874894;21,02;11,63;-20,11;31,33
5,894318;20,99;11,73;-20,11;31,34
5,914710;21,19;11,58;-20,09;31,41
5,934810;21,02;11,67;-20,13;31,36
5,954840;21,08;11,84;-20,04;31,40
5,976092;21,08;11,84;-20,04;31,40
5,995109;21,02;11,65;-19,81;31,15
6,015785;21,42;11,84;-19,83;31,50
6,035552;21,34;11,93;-19,91;31,53
6,056326;21,36;11,95;-19,98;31,60
6,076724;21,23;11,82;-19,89;31,40
6,096227;21,27;11,65;-19,98;31,42
6,116400;21,14;11,61;-19,98;31,32
6,142251;21,06;11,71;-19,94;31,28
6,156560;21,17;11,91;-19,96;31,44
6,176196;20,93;11,76;-20,26;31,42
6,196176;20,85;11,75;-20,15;31,29
6,217336;20,84;11,67;-20,13;31,23
6,241575;20,95;11,78;-20,05;31,30
6,257020;20,80;11,76;-19,90;31,10
6,277764;20,78;11,60;-19,85;30,99
6,297004;20,89;11,71;-19,96;31,18
6,317396;20,97;11,33;-20,13;31,20
6,338108;20,87;11,50;-19,77;30,97
6,357940;20,84;11,63;-19,74;30,97
6,377821;20,89;11,48;-19,79;30,99
6,398324;20,91;11,50;-20,09;31,20
6,418273;21,19;11,60;-20,28;31,54
6,438374;21,29;11,63;-20,39;31,69
6,459602;21,21;11,43;-20,32;31,52
6,478735;21,10;11,58;-20,34;31,51
6,498925;21,14;11,54;-20,37;31,54
6,519385;21,27;11,33;-20,54;31,67
6,539972;21,08;11,35;-20,56;31,56
6,559628;20,93;11,33;-20,39;31,34
6,579711;20,72;11,26;-20,36;31,15
6,599067;20,54;11,35;-20,37;31,08
6,618938;20,63;11,28;-20,43;31,15
6,639468;21,00;11,16;-20,36;31,31
6,659237;21,00;11,26;-20,54;31,46
6,679257;20,78;11,26;-20,41;31,23
6,700268;20,91;11,45;-20,41;31,38
6,720323;20,93;11,33;-20,45;31,38
6,739827;20,85;11,35;-20,34;31,26
6,760391;20,85;11,35;-20,37;31,29
6,780602;20,84;11,41;-20,39;31,31
6,801596;20,72;11,39;-20,37;31,21
6,820996;20,82;11,13;-20,37;31,18
6,840771;20,91;11,20;-20,24;31,18
6,860579;20,84;11,09;-20,05;30,97
